Training Details:
Episode 0: Reward -26.72, Steps 288, Epsilon 1.00
Episode 1: Reward -26.43, Steps 288, Epsilon 1.00
Episode 2: Reward -25.13, Steps 288, Epsilon 0.99
Episode 3: Reward -25.94, Steps 288, Epsilon 0.99
Episode 4: Reward -24.46, Steps 288, Epsilon 0.99
Episode 5: Reward -27.97, Steps 288, Epsilon 0.98
Episode 6: Reward -24.80, Steps 288, Epsilon 0.98
Episode 7: Reward -24.32, Steps 288, Epsilon 0.98
Episode 8: Reward -28.76, Steps 288, Epsilon 0.98
Episode 9: Reward -25.16, Steps 288, Epsilon 0.97
Episode 10: Reward -23.56, Steps 288, Epsilon 0.97
Episode 11: Reward -23.35, Steps 288, Epsilon 0.97
Episode 12: Reward -25.64, Steps 288, Epsilon 0.96
Episode 13: Reward -24.30, Steps 288, Epsilon 0.96
Episode 14: Reward -22.83, Steps 288, Epsilon 0.96
Episode 15: Reward -23.52, Steps 288, Epsilon 0.95
Episode 16: Reward -25.29, Steps 288, Epsilon 0.95
Episode 17: Reward -25.58, Steps 288, Epsilon 0.95
Episode 18: Reward -25.44, Steps 288, Epsilon 0.94
Episode 19: Reward -24.46, Steps 288, Epsilon 0.94
Episode 20: Reward -25.59, Steps 288, Epsilon 0.94
Episode 21: Reward -25.34, Steps 288, Epsilon 0.94
Episode 22: Reward -21.85, Steps 288, Epsilon 0.93
Episode 23: Reward -21.05, Steps 288, Epsilon 0.93
Episode 24: Reward -24.92, Steps 288, Epsilon 0.93
Episode 25: Reward -25.07, Steps 288, Epsilon 0.92
Episode 26: Reward -24.35, Steps 288, Epsilon 0.92
Episode 27: Reward -23.88, Steps 288, Epsilon 0.92
Episode 28: Reward -24.50, Steps 288, Epsilon 0.92
Episode 29: Reward -24.67, Steps 288, Epsilon 0.91
Episode 30: Reward -22.68, Steps 288, Epsilon 0.91
Episode 31: Reward -22.67, Steps 288, Epsilon 0.91
Episode 32: Reward -22.16, Steps 288, Epsilon 0.90
Episode 33: Reward -21.55, Steps 288, Epsilon 0.90
Episode 34: Reward -20.72, Steps 288, Epsilon 0.90
Episode 35: Reward -21.44, Steps 288, Epsilon 0.90
Episode 36: Reward -23.27, Steps 288, Epsilon 0.89
Episode 37: Reward -22.42, Steps 288, Epsilon 0.89
Episode 38: Reward -24.19, Steps 288, Epsilon 0.89
Episode 39: Reward -23.06, Steps 288, Epsilon 0.88
Episode 40: Reward -24.05, Steps 288, Epsilon 0.88
Episode 41: Reward -22.01, Steps 288, Epsilon 0.88
Episode 42: Reward -26.30, Steps 288, Epsilon 0.88
Episode 43: Reward -22.25, Steps 288, Epsilon 0.87
Episode 44: Reward -21.36, Steps 288, Epsilon 0.87
Episode 45: Reward -22.19, Steps 288, Epsilon 0.87
Episode 46: Reward -21.49, Steps 288, Epsilon 0.86
Episode 47: Reward -22.31, Steps 288, Epsilon 0.86
Episode 48: Reward -22.73, Steps 288, Epsilon 0.86
Episode 49: Reward -22.78, Steps 288, Epsilon 0.86
Episode 50: Reward -24.54, Steps 288, Epsilon 0.85
Episode 51: Reward -23.04, Steps 288, Epsilon 0.85
Episode 52: Reward -19.19, Steps 288, Epsilon 0.85
Episode 53: Reward -24.69, Steps 288, Epsilon 0.85
Episode 54: Reward -21.83, Steps 288, Epsilon 0.84
Episode 55: Reward -22.49, Steps 288, Epsilon 0.84
Episode 56: Reward -23.78, Steps 288, Epsilon 0.84
Episode 57: Reward -22.93, Steps 288, Epsilon 0.84
Episode 58: Reward -22.68, Steps 288, Epsilon 0.83
Episode 59: Reward -22.92, Steps 288, Epsilon 0.83
Episode 60: Reward -21.25, Steps 288, Epsilon 0.83
Episode 61: Reward -23.41, Steps 288, Epsilon 0.83
Episode 62: Reward -20.91, Steps 288, Epsilon 0.82
Episode 63: Reward -24.58, Steps 288, Epsilon 0.82
Episode 64: Reward -22.41, Steps 288, Epsilon 0.82
Episode 65: Reward -21.46, Steps 288, Epsilon 0.81
Episode 66: Reward -22.26, Steps 288, Epsilon 0.81
Episode 67: Reward -23.88, Steps 288, Epsilon 0.81
Episode 68: Reward -20.44, Steps 288, Epsilon 0.81
Episode 69: Reward -20.50, Steps 288, Epsilon 0.80
Episode 70: Reward -23.34, Steps 288, Epsilon 0.80
Episode 71: Reward -23.13, Steps 288, Epsilon 0.80
Episode 72: Reward -20.35, Steps 288, Epsilon 0.80
Episode 73: Reward -20.65, Steps 288, Epsilon 0.79
Episode 74: Reward -20.38, Steps 288, Epsilon 0.79
Episode 75: Reward -23.85, Steps 288, Epsilon 0.79
Episode 76: Reward -23.08, Steps 288, Epsilon 0.79
Episode 77: Reward -20.98, Steps 288, Epsilon 0.78
Episode 78: Reward -22.70, Steps 288, Epsilon 0.78
Episode 79: Reward -21.26, Steps 288, Epsilon 0.78
Episode 80: Reward -18.64, Steps 288, Epsilon 0.78
Episode 81: Reward -21.45, Steps 288, Epsilon 0.78
Episode 82: Reward -22.22, Steps 288, Epsilon 0.77
Episode 83: Reward -22.53, Steps 288, Epsilon 0.77
Episode 84: Reward -23.43, Steps 288, Epsilon 0.77
Episode 85: Reward -21.85, Steps 288, Epsilon 0.77
Episode 86: Reward -25.54, Steps 288, Epsilon 0.76
Episode 87: Reward -22.94, Steps 288, Epsilon 0.76
Episode 88: Reward -23.19, Steps 288, Epsilon 0.76
Episode 89: Reward -24.77, Steps 288, Epsilon 0.76
Episode 90: Reward -22.33, Steps 288, Epsilon 0.75
Episode 91: Reward -21.25, Steps 288, Epsilon 0.75
Episode 92: Reward -22.60, Steps 288, Epsilon 0.75
Episode 93: Reward -26.39, Steps 288, Epsilon 0.75
Episode 94: Reward -21.05, Steps 288, Epsilon 0.74
Episode 95: Reward -24.62, Steps 288, Epsilon 0.74
Episode 96: Reward -20.93, Steps 288, Epsilon 0.74
Episode 97: Reward -18.85, Steps 288, Epsilon 0.74
Episode 98: Reward -25.18, Steps 288, Epsilon 0.74
Episode 99: Reward -22.53, Steps 288, Epsilon 0.73
Episode 100: Reward -22.21, Steps 288, Epsilon 0.73
Episode 101: Reward -23.94, Steps 288, Epsilon 0.73
Episode 102: Reward -23.87, Steps 288, Epsilon 0.73
Episode 103: Reward -21.44, Steps 288, Epsilon 0.72
Episode 104: Reward -20.94, Steps 288, Epsilon 0.72
Episode 105: Reward -22.99, Steps 288, Epsilon 0.72
Episode 106: Reward -21.67, Steps 288, Epsilon 0.72
Episode 107: Reward -24.78, Steps 288, Epsilon 0.72
Episode 108: Reward -21.31, Steps 288, Epsilon 0.71
Episode 109: Reward -24.66, Steps 288, Epsilon 0.71
Episode 110: Reward -22.10, Steps 288, Epsilon 0.71
Episode 111: Reward -21.41, Steps 288, Epsilon 0.71
Episode 112: Reward -22.83, Steps 288, Epsilon 0.70
Episode 113: Reward -26.95, Steps 288, Epsilon 0.70
Episode 114: Reward -21.44, Steps 288, Epsilon 0.70
Episode 115: Reward -22.83, Steps 288, Epsilon 0.70
Episode 116: Reward -24.76, Steps 288, Epsilon 0.70
Episode 117: Reward -24.02, Steps 288, Epsilon 0.69
Episode 118: Reward -21.45, Steps 288, Epsilon 0.69
Episode 119: Reward -23.05, Steps 288, Epsilon 0.69
Episode 120: Reward -21.19, Steps 288, Epsilon 0.69
Episode 121: Reward -19.67, Steps 288, Epsilon 0.68
Episode 122: Reward -22.82, Steps 288, Epsilon 0.68
Episode 123: Reward -21.36, Steps 288, Epsilon 0.68
Episode 124: Reward -19.64, Steps 288, Epsilon 0.68
Episode 125: Reward -23.97, Steps 288, Epsilon 0.68
Episode 126: Reward -26.03, Steps 288, Epsilon 0.67
Episode 127: Reward -25.23, Steps 288, Epsilon 0.67
Episode 128: Reward -22.35, Steps 288, Epsilon 0.67
Episode 129: Reward -19.25, Steps 288, Epsilon 0.67
Episode 130: Reward -19.40, Steps 288, Epsilon 0.67
Episode 131: Reward -24.52, Steps 288, Epsilon 0.66
Episode 132: Reward -19.59, Steps 288, Epsilon 0.66
Episode 133: Reward -23.66, Steps 288, Epsilon 0.66
Episode 134: Reward -24.11, Steps 288, Epsilon 0.66
Episode 135: Reward -23.93, Steps 288, Epsilon 0.66
Episode 136: Reward -19.33, Steps 288, Epsilon 0.65
Episode 137: Reward -23.31, Steps 288, Epsilon 0.65
Episode 138: Reward -21.89, Steps 288, Epsilon 0.65
Episode 139: Reward -20.03, Steps 288, Epsilon 0.65
Episode 140: Reward -23.45, Steps 288, Epsilon 0.65
Episode 141: Reward -22.32, Steps 288, Epsilon 0.64
Episode 142: Reward -19.06, Steps 288, Epsilon 0.64
Episode 143: Reward -17.82, Steps 288, Epsilon 0.64
Episode 144: Reward -23.45, Steps 288, Epsilon 0.64
Episode 145: Reward -22.05, Steps 288, Epsilon 0.64
Episode 146: Reward -20.93, Steps 288, Epsilon 0.63
Episode 147: Reward -23.06, Steps 288, Epsilon 0.63
Episode 148: Reward -20.92, Steps 288, Epsilon 0.63
Episode 149: Reward -24.86, Steps 288, Epsilon 0.63
Episode 150: Reward -23.68, Steps 288, Epsilon 0.63
Episode 151: Reward -25.89, Steps 288, Epsilon 0.62
Episode 152: Reward -18.72, Steps 288, Epsilon 0.62
Episode 153: Reward -23.23, Steps 288, Epsilon 0.62
Episode 154: Reward -27.19, Steps 288, Epsilon 0.62
Episode 155: Reward -21.87, Steps 288, Epsilon 0.62
Episode 156: Reward -25.74, Steps 288, Epsilon 0.61
Episode 157: Reward -23.73, Steps 288, Epsilon 0.61
Episode 158: Reward -21.06, Steps 288, Epsilon 0.61
Episode 159: Reward -19.29, Steps 288, Epsilon 0.61
Episode 160: Reward -21.22, Steps 288, Epsilon 0.61
Episode 161: Reward -24.19, Steps 288, Epsilon 0.61
Episode 162: Reward -23.54, Steps 288, Epsilon 0.60
Episode 163: Reward -23.11, Steps 288, Epsilon 0.60
Episode 164: Reward -24.19, Steps 288, Epsilon 0.60
Episode 165: Reward -22.75, Steps 288, Epsilon 0.60
Episode 166: Reward -22.39, Steps 288, Epsilon 0.60
Episode 167: Reward -20.23, Steps 288, Epsilon 0.59
Episode 168: Reward -20.07, Steps 288, Epsilon 0.59
Episode 169: Reward -21.63, Steps 288, Epsilon 0.59
Episode 170: Reward -22.05, Steps 288, Epsilon 0.59
Episode 171: Reward -19.24, Steps 288, Epsilon 0.59
Episode 172: Reward -20.97, Steps 288, Epsilon 0.59
Episode 173: Reward -21.45, Steps 288, Epsilon 0.58
Episode 174: Reward -20.98, Steps 288, Epsilon 0.58
Episode 175: Reward -22.53, Steps 288, Epsilon 0.58
Episode 176: Reward -22.96, Steps 288, Epsilon 0.58
Episode 177: Reward -20.52, Steps 288, Epsilon 0.58
Episode 178: Reward -23.56, Steps 288, Epsilon 0.57
Episode 179: Reward -25.60, Steps 288, Epsilon 0.57
Episode 180: Reward -23.19, Steps 288, Epsilon 0.57
Episode 181: Reward -17.99, Steps 288, Epsilon 0.57
Episode 182: Reward -19.69, Steps 288, Epsilon 0.57
Episode 183: Reward -21.09, Steps 288, Epsilon 0.57
Episode 184: Reward -28.00, Steps 288, Epsilon 0.56
Episode 185: Reward -22.94, Steps 288, Epsilon 0.56
Episode 186: Reward -20.60, Steps 288, Epsilon 0.56
Episode 187: Reward -22.57, Steps 288, Epsilon 0.56
Episode 188: Reward -23.20, Steps 288, Epsilon 0.56
Episode 189: Reward -24.46, Steps 288, Epsilon 0.56
Episode 190: Reward -18.14, Steps 288, Epsilon 0.55
Episode 191: Reward -20.51, Steps 288, Epsilon 0.55
Episode 192: Reward -17.68, Steps 288, Epsilon 0.55
Episode 193: Reward -20.54, Steps 288, Epsilon 0.55
Episode 194: Reward -22.72, Steps 288, Epsilon 0.55
Episode 195: Reward -20.85, Steps 288, Epsilon 0.55
Episode 196: Reward -21.65, Steps 288, Epsilon 0.54
Episode 197: Reward -18.09, Steps 288, Epsilon 0.54
Episode 198: Reward -18.37, Steps 288, Epsilon 0.54
Episode 199: Reward -22.63, Steps 288, Epsilon 0.54
Episode 200: Reward -23.20, Steps 288, Epsilon 0.54
Episode 201: Reward -19.60, Steps 288, Epsilon 0.54
Episode 202: Reward -23.41, Steps 288, Epsilon 0.53
Episode 203: Reward -20.64, Steps 288, Epsilon 0.53
Episode 204: Reward -21.33, Steps 288, Epsilon 0.53
Episode 205: Reward -23.67, Steps 288, Epsilon 0.53
Episode 206: Reward -23.97, Steps 288, Epsilon 0.53
Episode 207: Reward -21.81, Steps 288, Epsilon 0.53
Episode 208: Reward -20.50, Steps 288, Epsilon 0.52
Episode 209: Reward -24.41, Steps 288, Epsilon 0.52
Episode 210: Reward -19.38, Steps 288, Epsilon 0.52
Episode 211: Reward -20.77, Steps 288, Epsilon 0.52
Episode 212: Reward -21.04, Steps 288, Epsilon 0.52
Episode 213: Reward -17.85, Steps 288, Epsilon 0.52
Episode 214: Reward -20.42, Steps 288, Epsilon 0.52
Episode 215: Reward -21.23, Steps 288, Epsilon 0.51
Episode 216: Reward -23.15, Steps 288, Epsilon 0.51
Episode 217: Reward -21.60, Steps 288, Epsilon 0.51
Episode 218: Reward -20.17, Steps 288, Epsilon 0.51
Episode 219: Reward -21.73, Steps 288, Epsilon 0.51
Episode 220: Reward -21.30, Steps 288, Epsilon 0.51
Episode 221: Reward -21.70, Steps 288, Epsilon 0.50
Episode 222: Reward -21.41, Steps 288, Epsilon 0.50
Episode 223: Reward -20.28, Steps 288, Epsilon 0.50
Episode 224: Reward -23.31, Steps 288, Epsilon 0.50
Episode 225: Reward -24.53, Steps 288, Epsilon 0.50
Episode 226: Reward -20.80, Steps 288, Epsilon 0.50
Episode 227: Reward -26.44, Steps 288, Epsilon 0.50
Episode 228: Reward -22.71, Steps 288, Epsilon 0.49
Episode 229: Reward -23.44, Steps 288, Epsilon 0.49
Episode 230: Reward -23.36, Steps 288, Epsilon 0.49
Episode 231: Reward -18.37, Steps 288, Epsilon 0.49
Episode 232: Reward -22.09, Steps 288, Epsilon 0.49
Episode 233: Reward -19.27, Steps 288, Epsilon 0.49
Episode 234: Reward -17.62, Steps 288, Epsilon 0.49
Episode 235: Reward -20.55, Steps 288, Epsilon 0.48
Episode 236: Reward -27.54, Steps 288, Epsilon 0.48
Episode 237: Reward -18.54, Steps 288, Epsilon 0.48
Episode 238: Reward -24.45, Steps 288, Epsilon 0.48
