Training Details:
Episode 0: Reward -446.72, Steps 8640, Epsilon 1.00
Episode 1: Reward -439.27, Steps 8640, Epsilon 1.00
Episode 2: Reward -444.00, Steps 8640, Epsilon 0.99
Episode 3: Reward -439.74, Steps 8640, Epsilon 0.99
Episode 4: Reward -447.58, Steps 8640, Epsilon 0.99
Episode 5: Reward -440.23, Steps 8640, Epsilon 0.98
Episode 6: Reward -442.53, Steps 8640, Epsilon 0.98
Episode 7: Reward -427.27, Steps 8640, Epsilon 0.98
Episode 8: Reward -437.24, Steps 8640, Epsilon 0.98
Episode 9: Reward -433.30, Steps 8640, Epsilon 0.97
Episode 10: Reward -435.71, Steps 8640, Epsilon 0.97
Episode 11: Reward -437.26, Steps 8640, Epsilon 0.97
Episode 12: Reward -441.20, Steps 8640, Epsilon 0.96
Episode 13: Reward -436.18, Steps 8640, Epsilon 0.96
Episode 14: Reward -434.54, Steps 8640, Epsilon 0.96
Episode 15: Reward -424.94, Steps 8640, Epsilon 0.95
Episode 16: Reward -431.72, Steps 8640, Epsilon 0.95
Episode 17: Reward -429.70, Steps 8640, Epsilon 0.95
Episode 18: Reward -430.12, Steps 8640, Epsilon 0.94
Episode 19: Reward -429.55, Steps 8640, Epsilon 0.94
Episode 20: Reward -423.97, Steps 8640, Epsilon 0.94
Episode 21: Reward -426.75, Steps 8640, Epsilon 0.94
Episode 22: Reward -424.50, Steps 8640, Epsilon 0.93
Episode 23: Reward -423.21, Steps 8640, Epsilon 0.93
Episode 24: Reward -424.09, Steps 8640, Epsilon 0.93
Episode 25: Reward -432.81, Steps 8640, Epsilon 0.92
Episode 26: Reward -416.04, Steps 8640, Epsilon 0.92
Episode 27: Reward -414.71, Steps 8640, Epsilon 0.92
Episode 28: Reward -422.05, Steps 8640, Epsilon 0.92
Episode 29: Reward -419.68, Steps 8640, Epsilon 0.91
Episode 30: Reward -412.88, Steps 8640, Epsilon 0.91
Episode 31: Reward -407.22, Steps 8640, Epsilon 0.91
Episode 32: Reward -421.76, Steps 8640, Epsilon 0.90
Episode 33: Reward -419.75, Steps 8640, Epsilon 0.90
Episode 34: Reward -412.24, Steps 8640, Epsilon 0.90
Episode 35: Reward -414.22, Steps 8640, Epsilon 0.90
Episode 36: Reward -414.00, Steps 8640, Epsilon 0.89
Episode 37: Reward -411.78, Steps 8640, Epsilon 0.89
Episode 38: Reward -406.64, Steps 8640, Epsilon 0.89
Episode 39: Reward -413.82, Steps 8640, Epsilon 0.88
Episode 40: Reward -403.86, Steps 8640, Epsilon 0.88
Episode 41: Reward -414.26, Steps 8640, Epsilon 0.88
Episode 42: Reward -401.12, Steps 8640, Epsilon 0.88
Episode 43: Reward -408.11, Steps 8640, Epsilon 0.87
Episode 44: Reward -403.72, Steps 8640, Epsilon 0.87
Episode 45: Reward -399.16, Steps 8640, Epsilon 0.87
Episode 46: Reward -396.15, Steps 8640, Epsilon 0.86
Episode 47: Reward -402.32, Steps 8640, Epsilon 0.86
Episode 48: Reward -409.10, Steps 8640, Epsilon 0.86
Episode 49: Reward -399.42, Steps 8640, Epsilon 0.86
Episode 50: Reward -397.63, Steps 8640, Epsilon 0.85
Episode 51: Reward -398.97, Steps 8640, Epsilon 0.85
Episode 52: Reward -395.30, Steps 8640, Epsilon 0.85
Episode 53: Reward -391.96, Steps 8640, Epsilon 0.85
Episode 54: Reward -392.37, Steps 8640, Epsilon 0.84
Episode 55: Reward -390.56, Steps 8640, Epsilon 0.84
Episode 56: Reward -394.70, Steps 8640, Epsilon 0.84
Episode 57: Reward -392.10, Steps 8640, Epsilon 0.84
Episode 58: Reward -392.75, Steps 8640, Epsilon 0.83
Episode 59: Reward -392.58, Steps 8640, Epsilon 0.83
Episode 60: Reward -385.26, Steps 8640, Epsilon 0.83
Episode 61: Reward -388.39, Steps 8640, Epsilon 0.83
Episode 62: Reward -394.52, Steps 8640, Epsilon 0.82
Episode 63: Reward -385.25, Steps 8640, Epsilon 0.82
Episode 64: Reward -385.75, Steps 8640, Epsilon 0.82
Episode 65: Reward -387.56, Steps 8640, Epsilon 0.81
Episode 66: Reward -383.07, Steps 8640, Epsilon 0.81
Episode 67: Reward -385.34, Steps 8640, Epsilon 0.81
Episode 68: Reward -383.80, Steps 8640, Epsilon 0.81
Episode 69: Reward -384.74, Steps 8640, Epsilon 0.80
Episode 70: Reward -387.59, Steps 8640, Epsilon 0.80
Episode 71: Reward -388.92, Steps 8640, Epsilon 0.80
Episode 72: Reward -378.75, Steps 8640, Epsilon 0.80
Episode 73: Reward -381.34, Steps 8640, Epsilon 0.79
Episode 74: Reward -372.44, Steps 8640, Epsilon 0.79
Episode 75: Reward -375.52, Steps 8640, Epsilon 0.79
Episode 76: Reward -374.80, Steps 8640, Epsilon 0.79
Episode 77: Reward -383.47, Steps 8640, Epsilon 0.78
Episode 78: Reward -382.39, Steps 8640, Epsilon 0.78
Episode 79: Reward -364.99, Steps 8640, Epsilon 0.78
Episode 80: Reward -380.90, Steps 8640, Epsilon 0.78
Episode 81: Reward -375.65, Steps 8640, Epsilon 0.78
Episode 82: Reward -367.27, Steps 8640, Epsilon 0.77
Episode 83: Reward -367.57, Steps 8640, Epsilon 0.77
Episode 84: Reward -368.44, Steps 8640, Epsilon 0.77
Episode 85: Reward -367.14, Steps 8640, Epsilon 0.77
Episode 86: Reward -369.17, Steps 8640, Epsilon 0.76
Episode 87: Reward -368.43, Steps 8640, Epsilon 0.76
Episode 88: Reward -371.16, Steps 8640, Epsilon 0.76
Episode 89: Reward -360.12, Steps 8640, Epsilon 0.76
Episode 90: Reward -369.38, Steps 8640, Epsilon 0.75
Episode 91: Reward -368.86, Steps 8640, Epsilon 0.75
Episode 92: Reward -361.29, Steps 8640, Epsilon 0.75
Episode 93: Reward -366.74, Steps 8640, Epsilon 0.75
Episode 94: Reward -371.08, Steps 8640, Epsilon 0.74
Episode 95: Reward -354.35, Steps 8640, Epsilon 0.74
Episode 96: Reward -360.07, Steps 8640, Epsilon 0.74
Episode 97: Reward -354.77, Steps 8640, Epsilon 0.74
Episode 98: Reward -362.38, Steps 8640, Epsilon 0.74
Episode 99: Reward -352.17, Steps 8640, Epsilon 0.73
Episode 100: Reward -361.55, Steps 8640, Epsilon 0.73
Episode 101: Reward -361.03, Steps 8640, Epsilon 0.73
Episode 102: Reward -361.38, Steps 8640, Epsilon 0.73
Episode 103: Reward -356.57, Steps 8640, Epsilon 0.72
Episode 104: Reward -350.88, Steps 8640, Epsilon 0.72
