Training Details:
Episode 0: Reward = -23.88, Steps = 288, Epsilon = 1.00
Episode 1: Reward = -24.90, Steps = 288, Epsilon = 1.00
Episode 2: Reward = -27.43, Steps = 288, Epsilon = 0.99
Episode 3: Reward = -22.76, Steps = 288, Epsilon = 0.99
Episode 4: Reward = -24.18, Steps = 288, Epsilon = 0.99
Episode 5: Reward = -22.32, Steps = 288, Epsilon = 0.98
Episode 6: Reward = -25.06, Steps = 288, Epsilon = 0.98
Episode 7: Reward = -24.10, Steps = 288, Epsilon = 0.98
Episode 8: Reward = -26.26, Steps = 288, Epsilon = 0.98
Episode 9: Reward = -25.64, Steps = 288, Epsilon = 0.97
Episode 10: Reward = -22.97, Steps = 288, Epsilon = 0.97
Episode 11: Reward = -23.23, Steps = 288, Epsilon = 0.97
Episode 12: Reward = -25.92, Steps = 288, Epsilon = 0.96
Episode 13: Reward = -24.42, Steps = 288, Epsilon = 0.96
Episode 14: Reward = -22.06, Steps = 288, Epsilon = 0.96
Episode 15: Reward = -27.09, Steps = 288, Epsilon = 0.95
Episode 16: Reward = -23.95, Steps = 288, Epsilon = 0.95
Episode 17: Reward = -22.86, Steps = 288, Epsilon = 0.95
Episode 18: Reward = -21.72, Steps = 288, Epsilon = 0.94
Episode 19: Reward = -24.00, Steps = 288, Epsilon = 0.94
Episode 20: Reward = -27.18, Steps = 288, Epsilon = 0.94
Episode 21: Reward = -23.60, Steps = 288, Epsilon = 0.94
Episode 22: Reward = -24.05, Steps = 288, Epsilon = 0.93
Episode 23: Reward = -23.37, Steps = 288, Epsilon = 0.93
Episode 24: Reward = -24.24, Steps = 288, Epsilon = 0.93
Episode 25: Reward = -24.69, Steps = 288, Epsilon = 0.92
Episode 26: Reward = -23.81, Steps = 288, Epsilon = 0.92
Episode 27: Reward = -21.39, Steps = 288, Epsilon = 0.92
Episode 28: Reward = -23.47, Steps = 288, Epsilon = 0.92
Episode 29: Reward = -25.67, Steps = 288, Epsilon = 0.91
Episode 30: Reward = -24.56, Steps = 288, Epsilon = 0.91
Episode 31: Reward = -22.66, Steps = 288, Epsilon = 0.91
Episode 32: Reward = -20.22, Steps = 288, Epsilon = 0.90
Episode 33: Reward = -24.40, Steps = 288, Epsilon = 0.90
Episode 34: Reward = -21.90, Steps = 288, Epsilon = 0.90
Episode 35: Reward = -22.86, Steps = 288, Epsilon = 0.90
Episode 36: Reward = -20.81, Steps = 288, Epsilon = 0.89
Episode 37: Reward = -23.24, Steps = 288, Epsilon = 0.89
Episode 38: Reward = -22.65, Steps = 288, Epsilon = 0.89
Episode 39: Reward = -21.51, Steps = 288, Epsilon = 0.88
Episode 40: Reward = -19.72, Steps = 288, Epsilon = 0.88
Episode 41: Reward = -24.67, Steps = 288, Epsilon = 0.88
Episode 42: Reward = -22.75, Steps = 288, Epsilon = 0.88
Episode 43: Reward = -22.43, Steps = 288, Epsilon = 0.87
Episode 44: Reward = -23.16, Steps = 288, Epsilon = 0.87
Episode 45: Reward = -22.68, Steps = 288, Epsilon = 0.87
Episode 46: Reward = -21.74, Steps = 288, Epsilon = 0.86
Episode 47: Reward = -20.48, Steps = 288, Epsilon = 0.86
Episode 48: Reward = -24.05, Steps = 288, Epsilon = 0.86
Episode 49: Reward = -23.49, Steps = 288, Epsilon = 0.86
Episode 50: Reward = -21.00, Steps = 288, Epsilon = 0.85
Episode 51: Reward = -22.87, Steps = 288, Epsilon = 0.85
Episode 52: Reward = -18.40, Steps = 288, Epsilon = 0.85
Episode 53: Reward = -20.42, Steps = 288, Epsilon = 0.85
Episode 54: Reward = -20.68, Steps = 288, Epsilon = 0.84
Episode 55: Reward = -22.08, Steps = 288, Epsilon = 0.84
Episode 56: Reward = -23.50, Steps = 288, Epsilon = 0.84
Episode 57: Reward = -23.09, Steps = 288, Epsilon = 0.84
Episode 58: Reward = -21.00, Steps = 288, Epsilon = 0.83
Episode 59: Reward = -23.23, Steps = 288, Epsilon = 0.83
Episode 60: Reward = -20.22, Steps = 288, Epsilon = 0.83
Episode 61: Reward = -21.99, Steps = 288, Epsilon = 0.83
Episode 62: Reward = -19.21, Steps = 288, Epsilon = 0.82
Episode 63: Reward = -18.90, Steps = 288, Epsilon = 0.82
Episode 64: Reward = -18.17, Steps = 288, Epsilon = 0.82
Episode 65: Reward = -17.94, Steps = 288, Epsilon = 0.81
Episode 66: Reward = -21.16, Steps = 288, Epsilon = 0.81
Episode 67: Reward = -19.41, Steps = 288, Epsilon = 0.81
Episode 68: Reward = -21.29, Steps = 288, Epsilon = 0.81
Episode 69: Reward = -20.33, Steps = 288, Epsilon = 0.80
Episode 70: Reward = -22.16, Steps = 288, Epsilon = 0.80
Episode 71: Reward = -20.89, Steps = 288, Epsilon = 0.80
Episode 72: Reward = -21.19, Steps = 288, Epsilon = 0.80
Episode 73: Reward = -17.62, Steps = 288, Epsilon = 0.79
Episode 74: Reward = -20.51, Steps = 288, Epsilon = 0.79
Episode 75: Reward = -19.03, Steps = 288, Epsilon = 0.79
Episode 76: Reward = -21.02, Steps = 288, Epsilon = 0.79
Episode 77: Reward = -18.26, Steps = 288, Epsilon = 0.78
Episode 78: Reward = -20.47, Steps = 288, Epsilon = 0.78
Episode 79: Reward = -20.60, Steps = 288, Epsilon = 0.78
Episode 80: Reward = -20.14, Steps = 288, Epsilon = 0.78
Episode 81: Reward = -22.06, Steps = 288, Epsilon = 0.78
Episode 82: Reward = -19.67, Steps = 288, Epsilon = 0.77
Episode 83: Reward = -17.63, Steps = 288, Epsilon = 0.77
Episode 84: Reward = -21.03, Steps = 288, Epsilon = 0.77
Episode 85: Reward = -20.88, Steps = 288, Epsilon = 0.77
Episode 86: Reward = -18.89, Steps = 288, Epsilon = 0.76
Episode 87: Reward = -19.28, Steps = 288, Epsilon = 0.76
Episode 88: Reward = -18.29, Steps = 288, Epsilon = 0.76
Episode 89: Reward = -19.87, Steps = 288, Epsilon = 0.76
Episode 90: Reward = -20.27, Steps = 288, Epsilon = 0.75
Episode 91: Reward = -19.05, Steps = 288, Epsilon = 0.75
Episode 92: Reward = -16.41, Steps = 288, Epsilon = 0.75
Episode 93: Reward = -21.76, Steps = 288, Epsilon = 0.75
Episode 94: Reward = -21.45, Steps = 288, Epsilon = 0.74
Episode 95: Reward = -19.14, Steps = 288, Epsilon = 0.74
Episode 96: Reward = -18.93, Steps = 288, Epsilon = 0.74
Episode 97: Reward = -19.89, Steps = 288, Epsilon = 0.74
Episode 98: Reward = -18.12, Steps = 288, Epsilon = 0.74
Episode 99: Reward = -19.44, Steps = 288, Epsilon = 0.73
Episode 100: Reward = -17.83, Steps = 288, Epsilon = 0.73
Episode 101: Reward = -17.67, Steps = 288, Epsilon = 0.73
Episode 102: Reward = -20.88, Steps = 288, Epsilon = 0.73
Episode 103: Reward = -18.91, Steps = 288, Epsilon = 0.72
Episode 104: Reward = -19.09, Steps = 288, Epsilon = 0.72
Episode 105: Reward = -16.68, Steps = 288, Epsilon = 0.72
Episode 106: Reward = -18.21, Steps = 288, Epsilon = 0.72
Episode 107: Reward = -18.14, Steps = 288, Epsilon = 0.72
Episode 108: Reward = -17.75, Steps = 288, Epsilon = 0.71
