Training Details:
Episode 0: Reward -74.74, Steps 1440, Epsilon 1.00
Episode 1: Reward -75.71, Steps 1440, Epsilon 1.00
Episode 2: Reward -76.99, Steps 1440, Epsilon 0.99
Episode 3: Reward -74.88, Steps 1440, Epsilon 0.99
Episode 4: Reward -70.12, Steps 1440, Epsilon 0.99
Episode 5: Reward -74.33, Steps 1440, Epsilon 0.98
Episode 6: Reward -73.33, Steps 1440, Epsilon 0.98
Episode 7: Reward -74.60, Steps 1440, Epsilon 0.98
Episode 8: Reward -73.06, Steps 1440, Epsilon 0.98
Episode 9: Reward -75.06, Steps 1440, Epsilon 0.97
Episode 10: Reward -74.70, Steps 1440, Epsilon 0.97
Episode 11: Reward -70.92, Steps 1440, Epsilon 0.97
Episode 12: Reward -71.35, Steps 1440, Epsilon 0.96
Episode 13: Reward -75.49, Steps 1440, Epsilon 0.96
Episode 14: Reward -71.94, Steps 1440, Epsilon 0.96
Episode 15: Reward -69.46, Steps 1440, Epsilon 0.95
Episode 16: Reward -71.82, Steps 1440, Epsilon 0.95
Episode 17: Reward -69.76, Steps 1440, Epsilon 0.95
Episode 18: Reward -69.31, Steps 1440, Epsilon 0.94
Episode 19: Reward -70.38, Steps 1440, Epsilon 0.94
Episode 20: Reward -68.16, Steps 1440, Epsilon 0.94
Episode 21: Reward -73.77, Steps 1440, Epsilon 0.94
Episode 22: Reward -70.37, Steps 1440, Epsilon 0.93
Episode 23: Reward -71.07, Steps 1440, Epsilon 0.93
Episode 24: Reward -69.74, Steps 1440, Epsilon 0.93
Episode 25: Reward -73.20, Steps 1440, Epsilon 0.92
Episode 26: Reward -70.17, Steps 1440, Epsilon 0.92
Episode 27: Reward -68.90, Steps 1440, Epsilon 0.92
Episode 28: Reward -71.60, Steps 1440, Epsilon 0.92
Episode 29: Reward -74.12, Steps 1440, Epsilon 0.91
Episode 30: Reward -70.91, Steps 1440, Epsilon 0.91
Episode 31: Reward -70.67, Steps 1440, Epsilon 0.91
Episode 32: Reward -69.91, Steps 1440, Epsilon 0.90
Episode 33: Reward -67.05, Steps 1440, Epsilon 0.90
Episode 34: Reward -68.09, Steps 1440, Epsilon 0.90
Episode 35: Reward -68.66, Steps 1440, Epsilon 0.90
Episode 36: Reward -68.66, Steps 1440, Epsilon 0.89
Episode 37: Reward -68.31, Steps 1440, Epsilon 0.89
Episode 38: Reward -64.82, Steps 1440, Epsilon 0.89
Episode 39: Reward -67.94, Steps 1440, Epsilon 0.88
Episode 40: Reward -67.36, Steps 1440, Epsilon 0.88
Episode 41: Reward -69.53, Steps 1440, Epsilon 0.88
Episode 42: Reward -67.11, Steps 1440, Epsilon 0.88
Episode 43: Reward -60.73, Steps 1440, Epsilon 0.87
Episode 44: Reward -69.77, Steps 1440, Epsilon 0.87
Episode 45: Reward -69.90, Steps 1440, Epsilon 0.87
Episode 46: Reward -66.55, Steps 1440, Epsilon 0.86
Episode 47: Reward -66.97, Steps 1440, Epsilon 0.86
Episode 48: Reward -66.35, Steps 1440, Epsilon 0.86
Episode 49: Reward -66.75, Steps 1440, Epsilon 0.86
Episode 50: Reward -66.14, Steps 1440, Epsilon 0.85
Episode 51: Reward -68.97, Steps 1440, Epsilon 0.85
Episode 52: Reward -65.61, Steps 1440, Epsilon 0.85
Episode 53: Reward -67.36, Steps 1440, Epsilon 0.85
Episode 54: Reward -65.47, Steps 1440, Epsilon 0.84
Episode 55: Reward -65.07, Steps 1440, Epsilon 0.84
Episode 56: Reward -66.57, Steps 1440, Epsilon 0.84
Episode 57: Reward -64.50, Steps 1440, Epsilon 0.84
Episode 58: Reward -64.30, Steps 1440, Epsilon 0.83
Episode 59: Reward -66.77, Steps 1440, Epsilon 0.83
Episode 60: Reward -64.33, Steps 1440, Epsilon 0.83
Episode 61: Reward -59.72, Steps 1440, Epsilon 0.83
Episode 62: Reward -63.71, Steps 1440, Epsilon 0.82
Episode 63: Reward -63.50, Steps 1440, Epsilon 0.82
Episode 64: Reward -63.19, Steps 1440, Epsilon 0.82
Episode 65: Reward -66.77, Steps 1440, Epsilon 0.81
Episode 66: Reward -65.42, Steps 1440, Epsilon 0.81
Episode 67: Reward -65.74, Steps 1440, Epsilon 0.81
Episode 68: Reward -62.82, Steps 1440, Epsilon 0.81
Episode 69: Reward -65.07, Steps 1440, Epsilon 0.80
Episode 70: Reward -65.72, Steps 1440, Epsilon 0.80
Episode 71: Reward -62.94, Steps 1440, Epsilon 0.80
Episode 72: Reward -65.34, Steps 1440, Epsilon 0.80
Episode 73: Reward -58.66, Steps 1440, Epsilon 0.79
Episode 74: Reward -63.14, Steps 1440, Epsilon 0.79
Episode 75: Reward -62.51, Steps 1440, Epsilon 0.79
Episode 76: Reward -63.13, Steps 1440, Epsilon 0.79
Episode 77: Reward -61.82, Steps 1440, Epsilon 0.78
Episode 78: Reward -58.45, Steps 1440, Epsilon 0.78
Episode 79: Reward -61.54, Steps 1440, Epsilon 0.78
Episode 80: Reward -61.71, Steps 1440, Epsilon 0.78
Episode 81: Reward -62.44, Steps 1440, Epsilon 0.78
Episode 82: Reward -60.49, Steps 1440, Epsilon 0.77
Episode 83: Reward -62.03, Steps 1440, Epsilon 0.77
Episode 84: Reward -62.24, Steps 1440, Epsilon 0.77
Episode 85: Reward -63.55, Steps 1440, Epsilon 0.77
Episode 86: Reward -62.18, Steps 1440, Epsilon 0.76
Episode 87: Reward -61.87, Steps 1440, Epsilon 0.76
Episode 88: Reward -57.75, Steps 1440, Epsilon 0.76
Episode 89: Reward -61.29, Steps 1440, Epsilon 0.76
Episode 90: Reward -62.35, Steps 1440, Epsilon 0.75
Episode 91: Reward -60.43, Steps 1440, Epsilon 0.75
Episode 92: Reward -61.34, Steps 1440, Epsilon 0.75
Episode 93: Reward -62.94, Steps 1440, Epsilon 0.75
Episode 94: Reward -56.95, Steps 1440, Epsilon 0.74
Episode 95: Reward -57.95, Steps 1440, Epsilon 0.74
Episode 96: Reward -59.84, Steps 1440, Epsilon 0.74
Episode 97: Reward -57.72, Steps 1440, Epsilon 0.74
Episode 98: Reward -62.54, Steps 1440, Epsilon 0.74
Episode 99: Reward -58.64, Steps 1440, Epsilon 0.73
Episode 100: Reward -59.16, Steps 1440, Epsilon 0.73
Episode 101: Reward -56.85, Steps 1440, Epsilon 0.73
Episode 102: Reward -56.64, Steps 1440, Epsilon 0.73
Episode 103: Reward -59.46, Steps 1440, Epsilon 0.72
Episode 104: Reward -56.15, Steps 1440, Epsilon 0.72
Episode 105: Reward -60.48, Steps 1440, Epsilon 0.72
Episode 106: Reward -58.10, Steps 1440, Epsilon 0.72
Episode 107: Reward -59.77, Steps 1440, Epsilon 0.72
Episode 108: Reward -59.14, Steps 1440, Epsilon 0.71
