Training Details:
Episode 0: Reward -73.49, Steps 1440, Epsilon 1.00
Episode 1: Reward -74.74, Steps 1440, Epsilon 1.00
Episode 2: Reward -74.85, Steps 1440, Epsilon 0.99
Episode 3: Reward -75.45, Steps 1440, Epsilon 0.99
Episode 4: Reward -73.31, Steps 1440, Epsilon 0.99
Episode 5: Reward -68.53, Steps 1440, Epsilon 0.98
Episode 6: Reward -70.20, Steps 1440, Epsilon 0.98
Episode 7: Reward -70.90, Steps 1440, Epsilon 0.98
Episode 8: Reward -70.98, Steps 1440, Epsilon 0.98
Episode 9: Reward -74.11, Steps 1440, Epsilon 0.97
Episode 10: Reward -74.19, Steps 1440, Epsilon 0.97
Episode 11: Reward -70.77, Steps 1440, Epsilon 0.97
Episode 12: Reward -74.23, Steps 1440, Epsilon 0.96
Episode 13: Reward -70.30, Steps 1440, Epsilon 0.96
Episode 14: Reward -71.91, Steps 1440, Epsilon 0.96
Episode 15: Reward -70.26, Steps 1440, Epsilon 0.95
Episode 16: Reward -71.14, Steps 1440, Epsilon 0.95
Episode 17: Reward -73.14, Steps 1440, Epsilon 0.95
Episode 18: Reward -71.58, Steps 1440, Epsilon 0.94
Episode 19: Reward -71.43, Steps 1440, Epsilon 0.94
Episode 20: Reward -73.38, Steps 1440, Epsilon 0.94
Episode 21: Reward -68.77, Steps 1440, Epsilon 0.94
Episode 22: Reward -73.11, Steps 1440, Epsilon 0.93
Episode 23: Reward -69.32, Steps 1440, Epsilon 0.93
Episode 24: Reward -69.37, Steps 1440, Epsilon 0.93
Episode 25: Reward -68.22, Steps 1440, Epsilon 0.92
Episode 26: Reward -67.79, Steps 1440, Epsilon 0.92
Episode 27: Reward -72.78, Steps 1440, Epsilon 0.92
Episode 28: Reward -69.57, Steps 1440, Epsilon 0.92
Episode 29: Reward -70.48, Steps 1440, Epsilon 0.91
Episode 30: Reward -71.86, Steps 1440, Epsilon 0.91
Episode 31: Reward -71.88, Steps 1440, Epsilon 0.91
Episode 32: Reward -68.76, Steps 1440, Epsilon 0.90
Episode 33: Reward -67.84, Steps 1440, Epsilon 0.90
Episode 34: Reward -72.01, Steps 1440, Epsilon 0.90
Episode 35: Reward -67.58, Steps 1440, Epsilon 0.90
Episode 36: Reward -67.95, Steps 1440, Epsilon 0.89
Episode 37: Reward -64.38, Steps 1440, Epsilon 0.89
Episode 38: Reward -69.43, Steps 1440, Epsilon 0.89
Episode 39: Reward -68.63, Steps 1440, Epsilon 0.88
Episode 40: Reward -68.27, Steps 1440, Epsilon 0.88
Episode 41: Reward -66.83, Steps 1440, Epsilon 0.88
Episode 42: Reward -68.41, Steps 1440, Epsilon 0.88
Episode 43: Reward -67.29, Steps 1440, Epsilon 0.87
Episode 44: Reward -66.65, Steps 1440, Epsilon 0.87
Episode 45: Reward -68.13, Steps 1440, Epsilon 0.87
Episode 46: Reward -67.25, Steps 1440, Epsilon 0.86
Episode 47: Reward -66.76, Steps 1440, Epsilon 0.86
Episode 48: Reward -68.93, Steps 1440, Epsilon 0.86
Episode 49: Reward -69.56, Steps 1440, Epsilon 0.86
Episode 50: Reward -65.78, Steps 1440, Epsilon 0.85
Episode 51: Reward -67.21, Steps 1440, Epsilon 0.85
Episode 52: Reward -66.72, Steps 1440, Epsilon 0.85
Episode 53: Reward -63.73, Steps 1440, Epsilon 0.85
Episode 54: Reward -67.50, Steps 1440, Epsilon 0.84
Episode 55: Reward -67.38, Steps 1440, Epsilon 0.84
Episode 56: Reward -64.20, Steps 1440, Epsilon 0.84
Episode 57: Reward -64.68, Steps 1440, Epsilon 0.84
Episode 58: Reward -63.79, Steps 1440, Epsilon 0.83
Episode 59: Reward -62.13, Steps 1440, Epsilon 0.83
Episode 60: Reward -64.58, Steps 1440, Epsilon 0.83
Episode 61: Reward -66.50, Steps 1440, Epsilon 0.83
Episode 62: Reward -63.47, Steps 1440, Epsilon 0.82
Episode 63: Reward -62.79, Steps 1440, Epsilon 0.82
Episode 64: Reward -64.65, Steps 1440, Epsilon 0.82
Episode 65: Reward -60.68, Steps 1440, Epsilon 0.81
Episode 66: Reward -66.21, Steps 1440, Epsilon 0.81
Episode 67: Reward -62.07, Steps 1440, Epsilon 0.81
Episode 68: Reward -64.95, Steps 1440, Epsilon 0.81
