Training Details:
Episode 0: Reward = -23.88, Steps = 288, Epsilon = 1.00
Episode 1: Reward = -24.90, Steps = 288, Epsilon = 1.00
Episode 2: Reward = -27.51, Steps = 288, Epsilon = 0.99
Episode 3: Reward = -24.04, Steps = 288, Epsilon = 0.99
Episode 4: Reward = -28.51, Steps = 288, Epsilon = 0.99
Episode 5: Reward = -25.47, Steps = 288, Epsilon = 0.98
Episode 6: Reward = -24.52, Steps = 288, Epsilon = 0.98
Episode 7: Reward = -25.11, Steps = 288, Epsilon = 0.98
Episode 8: Reward = -25.31, Steps = 288, Epsilon = 0.98
Episode 9: Reward = -24.91, Steps = 288, Epsilon = 0.97
Episode 10: Reward = -24.30, Steps = 288, Epsilon = 0.97
Episode 11: Reward = -23.76, Steps = 288, Epsilon = 0.97
Episode 12: Reward = -25.79, Steps = 288, Epsilon = 0.96
Episode 13: Reward = -26.69, Steps = 288, Epsilon = 0.96
Episode 14: Reward = -27.11, Steps = 288, Epsilon = 0.96
Episode 15: Reward = -22.87, Steps = 288, Epsilon = 0.95
Episode 16: Reward = -27.75, Steps = 288, Epsilon = 0.95
Episode 17: Reward = -24.87, Steps = 288, Epsilon = 0.95
Episode 18: Reward = -22.29, Steps = 288, Epsilon = 0.94
Episode 19: Reward = -24.32, Steps = 288, Epsilon = 0.94
Episode 20: Reward = -24.22, Steps = 288, Epsilon = 0.94
Episode 21: Reward = -25.79, Steps = 288, Epsilon = 0.94
Episode 22: Reward = -22.57, Steps = 288, Epsilon = 0.93
Episode 23: Reward = -25.61, Steps = 288, Epsilon = 0.93
Episode 24: Reward = -23.81, Steps = 288, Epsilon = 0.93
Episode 25: Reward = -24.01, Steps = 288, Epsilon = 0.92
Episode 26: Reward = -21.42, Steps = 288, Epsilon = 0.92
Episode 27: Reward = -23.69, Steps = 288, Epsilon = 0.92
Episode 28: Reward = -23.81, Steps = 288, Epsilon = 0.92
Episode 29: Reward = -24.43, Steps = 288, Epsilon = 0.91
Episode 30: Reward = -23.22, Steps = 288, Epsilon = 0.91
Episode 31: Reward = -21.24, Steps = 288, Epsilon = 0.91
Episode 32: Reward = -22.59, Steps = 288, Epsilon = 0.90
Episode 33: Reward = -23.75, Steps = 288, Epsilon = 0.90
Episode 34: Reward = -23.69, Steps = 288, Epsilon = 0.90
Episode 35: Reward = -22.30, Steps = 288, Epsilon = 0.90
Episode 36: Reward = -23.66, Steps = 288, Epsilon = 0.89
Episode 37: Reward = -22.14, Steps = 288, Epsilon = 0.89
Episode 38: Reward = -22.35, Steps = 288, Epsilon = 0.89
Episode 39: Reward = -23.00, Steps = 288, Epsilon = 0.88
Episode 40: Reward = -24.10, Steps = 288, Epsilon = 0.88
Episode 41: Reward = -24.21, Steps = 288, Epsilon = 0.88
Episode 42: Reward = -23.66, Steps = 288, Epsilon = 0.88
Episode 43: Reward = -23.96, Steps = 288, Epsilon = 0.87
Episode 44: Reward = -22.88, Steps = 288, Epsilon = 0.87
Episode 45: Reward = -18.34, Steps = 288, Epsilon = 0.87
Episode 46: Reward = -22.86, Steps = 288, Epsilon = 0.86
Episode 47: Reward = -20.39, Steps = 288, Epsilon = 0.86
Episode 48: Reward = -20.32, Steps = 288, Epsilon = 0.86
Episode 49: Reward = -20.69, Steps = 288, Epsilon = 0.86
Episode 50: Reward = -21.70, Steps = 288, Epsilon = 0.85
Episode 51: Reward = -23.30, Steps = 288, Epsilon = 0.85
Episode 52: Reward = -20.66, Steps = 288, Epsilon = 0.85
Episode 53: Reward = -21.44, Steps = 288, Epsilon = 0.85
Episode 54: Reward = -21.38, Steps = 288, Epsilon = 0.84
Episode 55: Reward = -19.91, Steps = 288, Epsilon = 0.84
Episode 56: Reward = -21.57, Steps = 288, Epsilon = 0.84
Episode 57: Reward = -21.61, Steps = 288, Epsilon = 0.84
Episode 58: Reward = -23.13, Steps = 288, Epsilon = 0.83
Episode 59: Reward = -19.42, Steps = 288, Epsilon = 0.83
Episode 60: Reward = -21.14, Steps = 288, Epsilon = 0.83
Episode 61: Reward = -21.19, Steps = 288, Epsilon = 0.83
Episode 62: Reward = -20.04, Steps = 288, Epsilon = 0.82
Episode 63: Reward = -20.37, Steps = 288, Epsilon = 0.82
Episode 64: Reward = -21.90, Steps = 288, Epsilon = 0.82
Episode 65: Reward = -19.34, Steps = 288, Epsilon = 0.81
Episode 66: Reward = -20.86, Steps = 288, Epsilon = 0.81
Episode 67: Reward = -22.66, Steps = 288, Epsilon = 0.81
Episode 68: Reward = -19.46, Steps = 288, Epsilon = 0.81
Episode 69: Reward = -21.73, Steps = 288, Epsilon = 0.80
Episode 70: Reward = -22.34, Steps = 288, Epsilon = 0.80
Episode 71: Reward = -22.54, Steps = 288, Epsilon = 0.80
Episode 72: Reward = -21.43, Steps = 288, Epsilon = 0.80
Episode 73: Reward = -18.93, Steps = 288, Epsilon = 0.79
Episode 74: Reward = -21.24, Steps = 288, Epsilon = 0.79
Episode 75: Reward = -19.93, Steps = 288, Epsilon = 0.79
Episode 76: Reward = -18.98, Steps = 288, Epsilon = 0.79
Episode 77: Reward = -19.32, Steps = 288, Epsilon = 0.78
Episode 78: Reward = -18.20, Steps = 288, Epsilon = 0.78
Episode 79: Reward = -18.13, Steps = 288, Epsilon = 0.78
Episode 80: Reward = -20.75, Steps = 288, Epsilon = 0.78
Episode 81: Reward = -18.10, Steps = 288, Epsilon = 0.78
Episode 82: Reward = -18.48, Steps = 288, Epsilon = 0.77
Episode 83: Reward = -21.84, Steps = 288, Epsilon = 0.77
Episode 84: Reward = -18.64, Steps = 288, Epsilon = 0.77
Episode 85: Reward = -20.95, Steps = 288, Epsilon = 0.77
Episode 86: Reward = -17.74, Steps = 288, Epsilon = 0.76
Episode 87: Reward = -19.15, Steps = 288, Epsilon = 0.76
Episode 88: Reward = -17.01, Steps = 288, Epsilon = 0.76
Episode 89: Reward = -20.21, Steps = 288, Epsilon = 0.76
Episode 90: Reward = -19.30, Steps = 288, Epsilon = 0.75
Episode 91: Reward = -17.99, Steps = 288, Epsilon = 0.75
Episode 92: Reward = -19.71, Steps = 288, Epsilon = 0.75
Episode 93: Reward = -19.60, Steps = 288, Epsilon = 0.75
Episode 94: Reward = -16.73, Steps = 288, Epsilon = 0.74
Episode 95: Reward = -16.27, Steps = 288, Epsilon = 0.74
Episode 96: Reward = -19.17, Steps = 288, Epsilon = 0.74
Episode 97: Reward = -19.16, Steps = 288, Epsilon = 0.74
Episode 98: Reward = -18.19, Steps = 288, Epsilon = 0.74
Episode 99: Reward = -20.09, Steps = 288, Epsilon = 0.73
Episode 100: Reward = -18.53, Steps = 288, Epsilon = 0.73
Episode 101: Reward = -19.34, Steps = 288, Epsilon = 0.73
Episode 102: Reward = -17.71, Steps = 288, Epsilon = 0.73
Episode 103: Reward = -17.71, Steps = 288, Epsilon = 0.72
Episode 104: Reward = -17.95, Steps = 288, Epsilon = 0.72
Episode 105: Reward = -16.25, Steps = 288, Epsilon = 0.72
Episode 106: Reward = -15.54, Steps = 288, Epsilon = 0.72
Episode 107: Reward = -17.71, Steps = 288, Epsilon = 0.72
Episode 108: Reward = -16.00, Steps = 288, Epsilon = 0.71
Episode 109: Reward = -19.21, Steps = 288, Epsilon = 0.71
Episode 110: Reward = -18.89, Steps = 288, Epsilon = 0.71
Episode 111: Reward = -16.01, Steps = 288, Epsilon = 0.71
Episode 112: Reward = -18.79, Steps = 288, Epsilon = 0.70
Episode 113: Reward = -17.06, Steps = 288, Epsilon = 0.70
Episode 114: Reward = -17.66, Steps = 288, Epsilon = 0.70
Episode 115: Reward = -20.25, Steps = 288, Epsilon = 0.70
Episode 116: Reward = -19.06, Steps = 288, Epsilon = 0.70
Episode 117: Reward = -19.77, Steps = 288, Epsilon = 0.69
Episode 118: Reward = -17.54, Steps = 288, Epsilon = 0.69
Episode 119: Reward = -19.79, Steps = 288, Epsilon = 0.69
Episode 120: Reward = -15.29, Steps = 288, Epsilon = 0.69
Episode 121: Reward = -16.10, Steps = 288, Epsilon = 0.68
Episode 122: Reward = -18.37, Steps = 288, Epsilon = 0.68
Episode 123: Reward = -17.02, Steps = 288, Epsilon = 0.68
Episode 124: Reward = -16.23, Steps = 288, Epsilon = 0.68
Episode 125: Reward = -18.03, Steps = 288, Epsilon = 0.68
Episode 126: Reward = -18.43, Steps = 288, Epsilon = 0.67
Episode 127: Reward = -19.43, Steps = 288, Epsilon = 0.67
Episode 128: Reward = -15.81, Steps = 288, Epsilon = 0.67
Episode 129: Reward = -14.20, Steps = 288, Epsilon = 0.67
Episode 130: Reward = -18.66, Steps = 288, Epsilon = 0.67
Episode 131: Reward = -16.01, Steps = 288, Epsilon = 0.66
Episode 132: Reward = -15.25, Steps = 288, Epsilon = 0.66
Episode 133: Reward = -15.56, Steps = 288, Epsilon = 0.66
Episode 134: Reward = -16.91, Steps = 288, Epsilon = 0.66
Episode 135: Reward = -16.11, Steps = 288, Epsilon = 0.66
Episode 136: Reward = -17.52, Steps = 288, Epsilon = 0.65
Episode 137: Reward = -16.57, Steps = 288, Epsilon = 0.65
Episode 138: Reward = -14.73, Steps = 288, Epsilon = 0.65
Episode 139: Reward = -16.06, Steps = 288, Epsilon = 0.65
Episode 140: Reward = -16.92, Steps = 288, Epsilon = 0.65
Episode 141: Reward = -16.76, Steps = 288, Epsilon = 0.64
Episode 142: Reward = -14.62, Steps = 288, Epsilon = 0.64
Episode 143: Reward = -18.78, Steps = 288, Epsilon = 0.64
Episode 144: Reward = -17.77, Steps = 288, Epsilon = 0.64
Episode 145: Reward = -16.18, Steps = 288, Epsilon = 0.64
Episode 146: Reward = -17.48, Steps = 288, Epsilon = 0.63
Episode 147: Reward = -15.63, Steps = 288, Epsilon = 0.63
Episode 148: Reward = -16.39, Steps = 288, Epsilon = 0.63
Episode 149: Reward = -14.79, Steps = 288, Epsilon = 0.63
Episode 150: Reward = -13.15, Steps = 288, Epsilon = 0.63
Episode 151: Reward = -13.06, Steps = 288, Epsilon = 0.62
Episode 152: Reward = -16.71, Steps = 288, Epsilon = 0.62
Episode 153: Reward = -16.89, Steps = 288, Epsilon = 0.62
Episode 154: Reward = -16.24, Steps = 288, Epsilon = 0.62
Episode 155: Reward = -16.28, Steps = 288, Epsilon = 0.62
Episode 156: Reward = -14.25, Steps = 288, Epsilon = 0.61
Episode 157: Reward = -15.50, Steps = 288, Epsilon = 0.61
Episode 158: Reward = -13.17, Steps = 288, Epsilon = 0.61
Episode 159: Reward = -15.66, Steps = 288, Epsilon = 0.61
Episode 160: Reward = -15.96, Steps = 288, Epsilon = 0.61
Episode 161: Reward = -15.99, Steps = 288, Epsilon = 0.61
Episode 162: Reward = -16.26, Steps = 288, Epsilon = 0.60
Episode 163: Reward = -14.65, Steps = 288, Epsilon = 0.60
Episode 164: Reward = -14.49, Steps = 288, Epsilon = 0.60
Episode 165: Reward = -16.58, Steps = 288, Epsilon = 0.60
Episode 166: Reward = -15.34, Steps = 288, Epsilon = 0.60
Episode 167: Reward = -13.97, Steps = 288, Epsilon = 0.59
Episode 168: Reward = -16.85, Steps = 288, Epsilon = 0.59
Episode 169: Reward = -16.26, Steps = 288, Epsilon = 0.59
Episode 170: Reward = -15.38, Steps = 288, Epsilon = 0.59
Episode 171: Reward = -13.10, Steps = 288, Epsilon = 0.59
Episode 172: Reward = -14.55, Steps = 288, Epsilon = 0.59
Episode 173: Reward = -13.73, Steps = 288, Epsilon = 0.58
Episode 174: Reward = -13.72, Steps = 288, Epsilon = 0.58
Episode 175: Reward = -15.47, Steps = 288, Epsilon = 0.58
Episode 176: Reward = -13.96, Steps = 288, Epsilon = 0.58
Episode 177: Reward = -13.62, Steps = 288, Epsilon = 0.58
Episode 178: Reward = -15.25, Steps = 288, Epsilon = 0.57
Episode 179: Reward = -15.64, Steps = 288, Epsilon = 0.57
Episode 180: Reward = -17.21, Steps = 288, Epsilon = 0.57
Episode 181: Reward = -15.13, Steps = 288, Epsilon = 0.57
Episode 182: Reward = -15.93, Steps = 288, Epsilon = 0.57
Episode 183: Reward = -13.91, Steps = 288, Epsilon = 0.57
Episode 184: Reward = -13.47, Steps = 288, Epsilon = 0.56
Episode 185: Reward = -14.41, Steps = 288, Epsilon = 0.56
Episode 186: Reward = -15.17, Steps = 288, Epsilon = 0.56
Episode 187: Reward = -13.08, Steps = 288, Epsilon = 0.56
Episode 188: Reward = -15.98, Steps = 288, Epsilon = 0.56
Episode 189: Reward = -12.61, Steps = 288, Epsilon = 0.56
Episode 190: Reward = -13.54, Steps = 288, Epsilon = 0.55
Episode 191: Reward = -12.51, Steps = 288, Epsilon = 0.55
Episode 192: Reward = -14.37, Steps = 288, Epsilon = 0.55
Episode 193: Reward = -14.63, Steps = 288, Epsilon = 0.55
Episode 194: Reward = -11.18, Steps = 288, Epsilon = 0.55
Episode 195: Reward = -15.37, Steps = 288, Epsilon = 0.55
Episode 196: Reward = -14.16, Steps = 288, Epsilon = 0.54
Episode 197: Reward = -15.16, Steps = 288, Epsilon = 0.54
