Training Details:
Episode 0: Reward -23.30, Steps 288, Epsilon 1.00
Episode 1: Reward -25.33, Steps 288, Epsilon 1.00
Episode 2: Reward -28.13, Steps 288, Epsilon 1.00
Episode 3: Reward -25.25, Steps 288, Epsilon 1.00
Episode 4: Reward -23.91, Steps 288, Epsilon 1.00
Episode 5: Reward -23.79, Steps 288, Epsilon 1.00
Episode 6: Reward -26.34, Steps 288, Epsilon 1.00
Episode 7: Reward -25.48, Steps 288, Epsilon 1.00
Episode 8: Reward -27.57, Steps 288, Epsilon 1.00
Episode 9: Reward -27.22, Steps 288, Epsilon 1.00
Episode 10: Reward -22.46, Steps 288, Epsilon 1.00
Episode 11: Reward -23.25, Steps 288, Epsilon 1.00
Episode 12: Reward -23.31, Steps 288, Epsilon 1.00
Episode 13: Reward -23.63, Steps 288, Epsilon 1.00
Episode 14: Reward -27.20, Steps 288, Epsilon 1.00
Episode 15: Reward -26.97, Steps 288, Epsilon 1.00
Episode 16: Reward -24.21, Steps 288, Epsilon 0.99
Episode 17: Reward -24.55, Steps 288, Epsilon 0.99
Episode 18: Reward -27.54, Steps 288, Epsilon 0.99
Episode 19: Reward -26.11, Steps 288, Epsilon 0.99
Episode 20: Reward -24.86, Steps 288, Epsilon 0.99
Episode 21: Reward -24.89, Steps 288, Epsilon 0.99
Episode 22: Reward -26.69, Steps 288, Epsilon 0.99
Episode 23: Reward -25.99, Steps 288, Epsilon 0.99
Episode 24: Reward -23.54, Steps 288, Epsilon 0.99
Episode 25: Reward -26.68, Steps 288, Epsilon 0.99
Episode 26: Reward -25.18, Steps 288, Epsilon 0.99
Episode 27: Reward -24.59, Steps 288, Epsilon 0.99
Episode 28: Reward -27.66, Steps 288, Epsilon 0.99
Episode 29: Reward -23.52, Steps 288, Epsilon 0.99
Episode 30: Reward -22.42, Steps 288, Epsilon 0.99
Episode 31: Reward -22.64, Steps 288, Epsilon 0.99
Episode 32: Reward -27.60, Steps 288, Epsilon 0.99
Episode 33: Reward -23.75, Steps 288, Epsilon 0.99
Episode 34: Reward -24.44, Steps 288, Epsilon 0.99
Episode 35: Reward -27.21, Steps 288, Epsilon 0.99
Episode 36: Reward -22.95, Steps 288, Epsilon 0.99
Episode 37: Reward -25.99, Steps 288, Epsilon 0.99
Episode 38: Reward -26.64, Steps 288, Epsilon 0.99
Episode 39: Reward -27.17, Steps 288, Epsilon 0.99
Episode 40: Reward -22.95, Steps 288, Epsilon 0.99
Episode 41: Reward -26.56, Steps 288, Epsilon 0.99
Episode 42: Reward -24.35, Steps 288, Epsilon 0.99
Episode 43: Reward -24.55, Steps 288, Epsilon 0.99
Episode 44: Reward -26.09, Steps 288, Epsilon 0.99
Episode 45: Reward -24.25, Steps 288, Epsilon 0.99
Episode 46: Reward -24.54, Steps 288, Epsilon 0.99
Episode 47: Reward -26.88, Steps 288, Epsilon 0.99
Episode 48: Reward -25.09, Steps 288, Epsilon 0.98
Episode 49: Reward -27.14, Steps 288, Epsilon 0.98
Episode 50: Reward -26.43, Steps 288, Epsilon 0.98
Episode 51: Reward -25.32, Steps 288, Epsilon 0.98
Episode 52: Reward -23.31, Steps 288, Epsilon 0.98
Episode 53: Reward -26.40, Steps 288, Epsilon 0.98
Episode 54: Reward -26.02, Steps 288, Epsilon 0.98
Episode 55: Reward -25.43, Steps 288, Epsilon 0.98
Episode 56: Reward -24.82, Steps 288, Epsilon 0.98
Episode 57: Reward -25.50, Steps 288, Epsilon 0.98
Episode 58: Reward -27.09, Steps 288, Epsilon 0.98
Episode 59: Reward -25.27, Steps 288, Epsilon 0.98
Episode 60: Reward -26.79, Steps 288, Epsilon 0.98
Episode 61: Reward -25.49, Steps 288, Epsilon 0.98
Episode 62: Reward -27.16, Steps 288, Epsilon 0.98
Episode 63: Reward -26.68, Steps 288, Epsilon 0.98
Episode 64: Reward -22.93, Steps 288, Epsilon 0.98
Episode 65: Reward -23.42, Steps 288, Epsilon 0.98
Episode 66: Reward -26.42, Steps 288, Epsilon 0.98
Episode 67: Reward -25.54, Steps 288, Epsilon 0.98
Episode 68: Reward -26.04, Steps 288, Epsilon 0.98
Episode 69: Reward -26.12, Steps 288, Epsilon 0.98
Episode 70: Reward -27.18, Steps 288, Epsilon 0.98
Episode 71: Reward -25.94, Steps 288, Epsilon 0.98
Episode 72: Reward -24.80, Steps 288, Epsilon 0.98
Episode 73: Reward -27.19, Steps 288, Epsilon 0.98
Episode 74: Reward -27.25, Steps 288, Epsilon 0.98
Episode 75: Reward -24.46, Steps 288, Epsilon 0.98
Episode 76: Reward -28.50, Steps 288, Epsilon 0.98
Episode 77: Reward -26.67, Steps 288, Epsilon 0.98
Episode 78: Reward -27.19, Steps 288, Epsilon 0.98
Episode 79: Reward -25.89, Steps 288, Epsilon 0.98
Episode 80: Reward -25.23, Steps 288, Epsilon 0.98
Episode 81: Reward -25.12, Steps 288, Epsilon 0.97
Episode 82: Reward -25.03, Steps 288, Epsilon 0.97
Episode 83: Reward -24.97, Steps 288, Epsilon 0.97
Episode 84: Reward -24.22, Steps 288, Epsilon 0.97
Episode 85: Reward -25.26, Steps 288, Epsilon 0.97
Episode 86: Reward -24.93, Steps 288, Epsilon 0.97
Episode 87: Reward -25.27, Steps 288, Epsilon 0.97
Episode 88: Reward -25.80, Steps 288, Epsilon 0.97
Episode 89: Reward -24.29, Steps 288, Epsilon 0.97
Episode 90: Reward -24.64, Steps 288, Epsilon 0.97
Episode 91: Reward -25.85, Steps 288, Epsilon 0.97
Episode 92: Reward -22.92, Steps 288, Epsilon 0.97
Episode 93: Reward -25.92, Steps 288, Epsilon 0.97
Episode 94: Reward -25.04, Steps 288, Epsilon 0.97
Episode 95: Reward -25.04, Steps 288, Epsilon 0.97
Episode 96: Reward -25.41, Steps 288, Epsilon 0.97
Episode 97: Reward -24.04, Steps 288, Epsilon 0.97
Episode 98: Reward -23.80, Steps 288, Epsilon 0.97
Episode 99: Reward -26.58, Steps 288, Epsilon 0.97
Episode 100: Reward -26.59, Steps 288, Epsilon 0.97
Episode 101: Reward -27.78, Steps 288, Epsilon 0.97
Episode 102: Reward -24.65, Steps 288, Epsilon 0.97
Episode 103: Reward -25.56, Steps 288, Epsilon 0.97
Episode 104: Reward -23.09, Steps 288, Epsilon 0.97
Episode 105: Reward -26.92, Steps 288, Epsilon 0.97
Episode 106: Reward -26.99, Steps 288, Epsilon 0.97
Episode 107: Reward -21.85, Steps 288, Epsilon 0.97
Episode 108: Reward -23.62, Steps 288, Epsilon 0.97
Episode 109: Reward -24.29, Steps 288, Epsilon 0.97
Episode 110: Reward -24.86, Steps 288, Epsilon 0.97
Episode 111: Reward -27.66, Steps 288, Epsilon 0.97
Episode 112: Reward -24.21, Steps 288, Epsilon 0.97
Episode 113: Reward -24.87, Steps 288, Epsilon 0.96
Episode 114: Reward -25.77, Steps 288, Epsilon 0.96
Episode 115: Reward -28.42, Steps 288, Epsilon 0.96
Episode 116: Reward -24.05, Steps 288, Epsilon 0.96
Episode 117: Reward -24.66, Steps 288, Epsilon 0.96
Episode 118: Reward -26.56, Steps 288, Epsilon 0.96
Episode 119: Reward -26.25, Steps 288, Epsilon 0.96
Episode 120: Reward -25.70, Steps 288, Epsilon 0.96
Episode 121: Reward -26.25, Steps 288, Epsilon 0.96
Episode 122: Reward -24.32, Steps 288, Epsilon 0.96
Episode 123: Reward -24.79, Steps 288, Epsilon 0.96
Episode 124: Reward -23.13, Steps 288, Epsilon 0.96
Episode 125: Reward -24.75, Steps 288, Epsilon 0.96
Episode 126: Reward -24.57, Steps 288, Epsilon 0.96
Episode 127: Reward -26.64, Steps 288, Epsilon 0.96
Episode 128: Reward -23.41, Steps 288, Epsilon 0.96
Episode 129: Reward -23.88, Steps 288, Epsilon 0.96
Episode 130: Reward -23.38, Steps 288, Epsilon 0.96
Episode 131: Reward -26.09, Steps 288, Epsilon 0.96
Episode 132: Reward -25.56, Steps 288, Epsilon 0.96
Episode 133: Reward -24.06, Steps 288, Epsilon 0.96
Episode 134: Reward -22.39, Steps 288, Epsilon 0.96
Episode 135: Reward -25.10, Steps 288, Epsilon 0.96
Episode 136: Reward -25.66, Steps 288, Epsilon 0.96
Episode 137: Reward -26.80, Steps 288, Epsilon 0.96
Episode 138: Reward -26.25, Steps 288, Epsilon 0.96
Episode 139: Reward -26.21, Steps 288, Epsilon 0.96
Episode 140: Reward -25.77, Steps 288, Epsilon 0.96
Episode 141: Reward -25.38, Steps 288, Epsilon 0.96
Episode 142: Reward -22.46, Steps 288, Epsilon 0.96
Episode 143: Reward -24.85, Steps 288, Epsilon 0.96
Episode 144: Reward -22.85, Steps 288, Epsilon 0.96
Episode 145: Reward -23.72, Steps 288, Epsilon 0.96
Episode 146: Reward -24.55, Steps 288, Epsilon 0.95
Episode 147: Reward -26.11, Steps 288, Epsilon 0.95
Episode 148: Reward -24.90, Steps 288, Epsilon 0.95
Episode 149: Reward -26.36, Steps 288, Epsilon 0.95
Episode 150: Reward -26.61, Steps 288, Epsilon 0.95
Episode 151: Reward -23.86, Steps 288, Epsilon 0.95
Episode 152: Reward -25.25, Steps 288, Epsilon 0.95
Episode 153: Reward -25.22, Steps 288, Epsilon 0.95
Episode 154: Reward -26.07, Steps 288, Epsilon 0.95
Episode 155: Reward -26.48, Steps 288, Epsilon 0.95
Episode 156: Reward -23.89, Steps 288, Epsilon 0.95
Episode 157: Reward -23.63, Steps 288, Epsilon 0.95
Episode 158: Reward -26.67, Steps 288, Epsilon 0.95
Episode 159: Reward -23.95, Steps 288, Epsilon 0.95
Episode 160: Reward -27.29, Steps 288, Epsilon 0.95
Episode 161: Reward -23.62, Steps 288, Epsilon 0.95
Episode 162: Reward -24.37, Steps 288, Epsilon 0.95
Episode 163: Reward -25.35, Steps 288, Epsilon 0.95
Episode 164: Reward -24.28, Steps 288, Epsilon 0.95
Episode 165: Reward -22.84, Steps 288, Epsilon 0.95
Episode 166: Reward -24.20, Steps 288, Epsilon 0.95
Episode 167: Reward -25.55, Steps 288, Epsilon 0.95
Episode 168: Reward -24.08, Steps 288, Epsilon 0.95
Episode 169: Reward -22.96, Steps 288, Epsilon 0.95
Episode 170: Reward -26.39, Steps 288, Epsilon 0.95
Episode 171: Reward -24.84, Steps 288, Epsilon 0.95
Episode 172: Reward -25.26, Steps 288, Epsilon 0.95
Episode 173: Reward -26.11, Steps 288, Epsilon 0.95
Episode 174: Reward -25.79, Steps 288, Epsilon 0.95
Episode 175: Reward -23.88, Steps 288, Epsilon 0.95
Episode 176: Reward -22.47, Steps 288, Epsilon 0.95
Episode 177: Reward -25.92, Steps 288, Epsilon 0.95
Episode 178: Reward -24.84, Steps 288, Epsilon 0.95
Episode 179: Reward -23.56, Steps 288, Epsilon 0.94
Episode 180: Reward -23.57, Steps 288, Epsilon 0.94
Episode 181: Reward -25.60, Steps 288, Epsilon 0.94
Episode 182: Reward -26.17, Steps 288, Epsilon 0.94
Episode 183: Reward -26.75, Steps 288, Epsilon 0.94
Episode 184: Reward -22.71, Steps 288, Epsilon 0.94
Episode 185: Reward -24.92, Steps 288, Epsilon 0.94
